श्रीगङ्गानगरं गन्तुमिच्छति सः।|He wishes to go to Shriganganagar.|वह श्रीगंगानगर जाना चाहता है।
एतद् अमूल्यं धनादेशपत्रं गृहीत्वा मम पुत्रीं त्यज।|Having taken this invaluable cheque, leave my daughter.|यह अमूल्य धनादेश-पत्र लेकर मेरी बेटी को छोड़ दो।
निजकर्मोपात्तेन वित्तेन हृदयं विनोदय।|Delight the heart with the wealth acquired by one's own (prescribed) duty.|अपने (शास्त्राधिकृत) कर्मों से अर्जित धन से हृदय को प्रसन्न करो।
तिष्ठ कुत्र धावसि दुष्ट।|Stop, where are you running, O wicked one?|ठहरो, कहाँ दौड़ते हो दुष्ट।
हरिद्रा आयुषे लाभकरी स्मृता।|Turmeric is remembered (considered) to be beneficial for health.|हल्दी स्वास्थ्य के लिए लाभकारी मानी गई है।
जातबोधस्य पापानि दूरेण तिष्ठन्ति।|The sins of the one with awakened wisdom stay far away.| उत्पन्न ज्ञान वाले के पाप दूर ही रहते हैं।
शाकापणे ताम् अपश्यम् अहम्।|I saw her in the vegetable market.|सब्जी के हाट में मैंने उसे देखा।
प्रीतेः गोपनम् अतिदुष्करम्।|The hiding of affection is extremely difficult.|प्रेम को छिपाना बहुत कठिन है।
त्वं स्वकर्म्मणि नियोगं कुरु।|You get engaged in your own work.|तुम अपने कर्म में नियोग करो।
सद्गुरुरेव मूढात्मानं त्रायते।|The true Guru alone saves the foolish soul.|अच्छे गुरु ही मूर्ख की रक्षा करते हैं।
हरेरामः अधुना उच्चाधिकारी वर्तते।|Harerama is a high official now.|हरेराम अब उच्च अधिकारी हैं।
मम पितरम् अखिलं नगरम् अभिजानाति।|The entire city recognizes my father.|संपूर्ण नगर मेरे पिता को पहचानता है।
इह इह पश्य एष मम पुत्रः।|Look here, here, this is my son.|इधर देखो इधर, यह मेरा बेटा है।
तव वित्तं चौराः अनुयान्ति।|Thieves follow your wealth.|चोर तुम्हारे धन के पीछे पड़े हैं।
लघुकर्णनामा मार्जारः अत्र आगतः।|The tomcat named Laghukarna has come here.|लघुकर्ण नाम का बिल्ला यहाँ आया है।
तव पिता किं ब्रूते।|What does your father say?|तुम्हारे पिता क्या कहते हैं।
सखे शुक त्वमेव मम सन्देशं नय।|Friend parrot! you alone carry my message.|हे मित्र पोपट! तुम ही मेरा संदेश ले जाओ।
क्षीणे वित्ते भार्य्या परीक्ष्यते।|When wealth is depleted, the wife is tested.|धन के क्षीण होने पर पत्नी की परीक्षा होती है।
वनपथिक आत्मानं मृतवत् सन्दर्शयति।|The forest-traveler shows himself like a dead person.|वन का पथिक स्वयं को मृतक के समान दिखाता है।
चपलेन सह स्नेहः सर्वथा न कर्तव्यः।|Affection with a fickle person is not to be done by any means.|चंट के साथ स्नेह सर्वथा नहीं करना चाहिए।
भवती अस्माकं शत्रुपक्षे वर्तते।|You are there on our enemy side.|आप हमारे शत्रु के पक्ष में हैं।
नौः स्थले न गन्तुं शक्नुयात्।|A boat could not move on land.|नाव स्थल पर जाने में समर्थ नहीं हो सकती।
अर्जुनः कुरुक्षेत्रे यशः कामयते।|Arjuna desires fame in Kurukshetra.|अर्जुन कुरुक्षेत्र में यश की कामना करता है।
यया स्वतनुः दत्ता तया सर्व्वस्वम् अर्पितम्।|By whom her own body is given, by her everything is submitted.|जिसके द्वारा अपनी देह दे दी गई, उसके द्वारा सब कुछ अर्पित कर दिया गया।
केन अस्मद्गृहे अग्निः निक्षिप्तः।|By whom was fire cast into our house?|किसके द्वारा हमारे घर में आग लगाई गई।
कोऽयं कन्ये ते निष्कारणबन्धुः।|Who is this, O girl, your unfounded friend?|लड़की! तुम्हारा यह अकारण बंधु कौन है।
सङ्कटे उत्पन्ने युक्तिरनुष्ठेया।|When a crisis has arisen, a strategy is to be executed.|संकट उत्पन्न होने पर युक्ति का अनुष्ठान करना चाहिए।
धीवरो जलाशयान्तरं गच्छति।|The fisherman goes to other lake.|मछुआरा दूसरे जलाशय को जाता है।
तस्य गृहिणी सेवकेन सह रमते।|His wife rejoices with the servant.|उसकी घरवाली सेवक के साथ रमण करती है।
पिप्पलवृक्षे बकाः निवसन्ति।|Cranes live on the Pippala tree.|पीपल के वृक्ष पर बगुले निवास करते हैं।
यस्य हृदि भगवान् स कृतकृत्यः।|He in whose heart is the Lord, he is fulfilled.|जिसके हृदय में भगवान हैं, वह कृतकृत्य है।
सा आत्मानं रुग्णाम् इव सन्दर्शयति।|She shows herself as if sick.|वह स्वयं को रोगिणी की भाँति दर्शाती है।
पितुर्वा मातुर्वा आज्ञा पालनीया।|The command of the father or of the mother is to be obeyed.|पिता अथवा माता की आज्ञा का पालन करना चाहिए।
न तस्य कार्ये विघ्नं कुरु।|Do not make an obstacle in his work.|उसके कार्य में विघ्न मत करो।
सा आत्मवृत्तान्तं कथयति।|She tells the story of the self.|वह अपने बारे में कहती है।
पद्मिनी इति नाम कृत्वा राज्ञी स्थापिता।|Having named as "Padmini", the queen was established.|"पद्मिनी" ऐसा नाम करके रानी रखी गई।
बुभुक्षितः किं पापं न करोति।|What sin does a hungry one not commit?|भूखा क्या पाप नहीं करता है।
प्राणपरित्यागो वरः नैतत् कर्म्म।|The abandonment of life-breaths is better, not this action.|प्राणों का त्याग श्रेष्ठ है, यह कर्म नहीं।
ब्राह्मणी स्नात्वा गृहं ययौ।|The Brahmin woman, having bathed, went to the house.| ब्राह्मणी स्नान करके घर गई।
कथं तस्या गृहे त्वया सुचिरम् उषितम्।|How was it dwelt by you for a long time in her house?|उसके घर में तुम्हारे द्वारा अच्छा लम्बे समय तक कैसे रहा गया।
सङ्गः सर्व्वात्मना त्याज्यः, तदशक्ते सद्भिः कर्तव्यः।|Attachment is to be abandoned entirely; if incapable of that, it is to be made with the good.|संग पूर्ण रूप से त्यागने योग्य है; उसमें असमर्थ होने पर सज्जनों के साथ करना चाहिए।
नेयं ते भूमिः परन्तु प्रकृतेः।|This land is not yours, but of the Nature.|यह भूमि तुम्हारी नहीं है, परंतु प्रकृति की है।
विडालो मां दृष्ट्वा हसति।|The tomcat, having seen me, laughs.|बिल्ला मुझे देखकर हँसता है।
हे देवपुरुष भवान् अन्येषां द्वारि गत्वा म्रियताम्।|O divine man! having gone to the door of others, let you be died (die).|हे देवपुरुष, आप के द्वारा दुसरों के द्वारे जाकर मरा जाये।
मुनिना कुक्कुरो व्याघ्रः कृतः।|By the sage, the dog was made a tiger.|मुनि के द्वारा कुत्ता बाघ बनाया गया।
किमिति पुत्रि आहारत्यागेन तिष्ठसि।|Why, O daughter, do you stay with the abandonment of food?|बेटी, किसलिए आहार छोड़ बैठी हो।
अहम् एकैकशः पत्राणि नयामि।|I take the leaves one by one.|मैं एक-एक करके पत्तों को ले जाता हूँ।
क्षत्रियः शत्रोर्ग्रीवां चिच्छेद।|The kshatriya had cut the neck of the enemy.|क्षत्रिय ने शत्रु की गर्दन काट दी थी।
आवाभ्यां महासुखेन पर्वतेषु वस्तव्यम्।|By us two, it should be lived in the mountains with great happiness.|हम दोनों के द्वारा पहाड़ो पर महान् सुख से रहा जाना चाहिए।
साधुः धूर्तत्रयेण अवलोकितः।|The sage was seen by the triad of rogues.|साधु तीन धूर्तों के द्वारा देखा गया।
धीराणाम् अपि मतिर्दोलायते।|Even of the patient, the mind swings.|धीर पुरुषों की भी मति डोलती है।
धनेनैव लोके बलवान् मन्यते।|Only by wealth is one considered strong in the world.|धन से ही लोक में बलवान् माना जाता है।
बालकानां दोषोऽपि सुखदः।|Even the fault of children is pleasant.|बालकों का दोष भी सुख देने वाला होता है।
मम उदरे मूषका नृत्यन्ति।|In my stomach, mice dance.|मेरे उदर में चूहे नाचते हैं।
पश्य इदम् एव मम गृहम् अस्ति।|See, this itself is my house.|देखो, यही मेरा घर है।
अस्ति रामस्य अनुजस्य नाम अस्य।|The name of this one is of Rama's younger brother.|इसका नाम राम के छोटे भाई वाला है।
मम अपि विचारः समानः एव।|My thought too is exactly the same.|मेरा भी विचार समान ही है।
त्वं मां छलितुम् एवं व्यवहरसि।|You behave thus to deceive me.|तुम मुझे छलने के लिए ऐसा व्यवहार करते हो।
अस्मिन् नगरे अहं पुरुषसिंह आख्याये।|In this city, I am called a lion among men.|इस नगर में मैं पुरुषसिंह कहलाता हूँ।
मयैव सहात्र कालो नीयताम्।|Let the time be spent here with me only.|मेरे ही साथ यहाँ काल व्यतीत किया जाए।
फलेन भक्षितेन अपि न मम पुष्कलः आहारः।|Even with the fruit eaten, my meal wouldn't be abundant.|फल खा किए जाने से भी मेरा बहुत आहार नहीं होगा।
तस्यार्थम् अहं यत्किमपि किल करिष्ये।|For his sake, I will indeed do what so ever.|उसके लिए मैं निश्चय ही जो कुछ भी हो करूँगी।
अस्ति गौडीये नन्दीग्रामो नाम नगरम्।|There is a city named Nandigrama in the Bengal region.|बंगाल प्रदेश में नन्दीग्राम नामक नगर है।
वृद्धो भार्य्यायाम् अतीव अनुरागवान्।|The old man is exceedingly affectionate towards the wife.|बूढ़ा पत्नी में अतीव अनुरागवान् है।
नाथ कष्टमापतितम्।|Lord! Hardship has fallen.|नाथ! कष्ट आ पड़ा है।
वैश्यानां मेलकं कृत्वा स राज्ञः समीपं गतः।|Having made a gathering of the merchants, he went near the king.|बनियों का सम्मेलन करके वह राजा के पास गया।
भार्य्यया सकलवृत्तान्तं पत्युः पुरतो निवेदितम्।|The entire matter was reported by the wife in front of the husband.|पत्नी के द्वारा पति के सामने सारा वृत्तांत बताया गया।
सा तं कण्ठहारदानाय आदिदेश।|She ordered him for the giving of the necklace.|उसने उसे गले का हार देने के लिए आदेश दिया।
अनुजीविनां कुतः कुशलम्।|From where is the well-being for the dependents?|आश्रितों (सेवकों) का कुशल कहाँ से हो।
कस्य नाम आपदः अस्तं गताः।|Of whom indeed have misfortunes gone to setting (ended)?|भला किसकी आपत्तियाँ अस्त हो गई हैं (समाप्त हुई हैं)।
दिनेऽपि मशकाः तां न त्यजन्ति।|Even in the day, mosquitoes do not leave her.|दिन में भी मच्छर उसे नहीं छोड़ते हैं।
पृथ्वी माता सूर्य्यश्च पिता मन्येताम्।|Let the Earth be considered the mother and the Sun the father.|पृथ्वी माता और सूरज पिता माने जाएँ।
अकारणद्वेषि मनः कथं परितोषयेत्।|How can one satisfy a mind hating without reason?|अकारण द्वेष करने वाले मन को कैसे संतुष्ट किया जाए।
वाचि मधुरा परं विषहृदया सा।|She is sweet in speech but poison-hearted.|वह बोली में मधुर है परंतु विषैले हृदय वाली है।
आयमनालोच्य व्ययमानो दरिद्रो भवति।|The one spending without considering the income becomes poor.|आय पर विचार किए बिना व्यय करने वाला दरिद्र हो जाता है।
शृणु भ्रातः माता मम कुपिता।|Listen, O brother, the mother is angry with me.|सुनो भाई, माँ मुझ पर कुपित हैं।
तत्र पिशाचो वसति इति जनप्रवादः श्रूयते।|A Pishacha resides there, thus a popular rumor is heard.|वहाँ पिशाच रहता है, ऐसी जनश्रुति सुनी जाती है।
बालकैः पतिता घण्टा प्राप्ता।|The fallen bell was obtained by the boys.|बच्चों द्वारा गिरी हुई घंटी पाई गई।
सिंहः पशुं हन्तुं चलितः।|The lion set out to kill the animal.|सिंह पशु को मारने के लिए चल पड़ा।
स्वरङ्गे मां संरञ्जय।|Color me in your own color.|मुझे अपने रंग में रंग लो।
मम हस्ते हस्तं कुरु।|Place the hand in my hand.|मेरे हाथ में हाथ रखो।
भर्तुः अनिवेद्य किञ्चिदपि न प्रकुर्वीत।|Without informing the provider, one should not do even a little.|भरतार को बिना सूचित किए कुछ भी नहीं करना चाहिए।
स एव सर्वानर्थकरः ज्ञायताम्।|Let him alone be known as the maker of all blunders.|उसे ही सभी अनर्थों का करने वाला जाना जाए।
गीतानि अतीव शृणोषि।|You listen to songs exceedingly.|तुम अत्यधिक गीत सुनते हो।
मूर्खशताद् एको विद्वान् वरम्।|From a hundred fools, one scholar is better.|सौ मूर्खों से एक विद्वान् श्रेष्ठ है।
किं निरीक्ष्यसे मम कक्षे।|What are you observing in my room?|मेरे कक्ष में क्या देख रहे हो।
त्वं पठ्यमानं श्लोकद्वयं शुश्रोथ।|You had heard the two verses being read.|तुमने पढ़े जाते हुए दो श्लोक सुन लिये थे।
अतिसरलो मनुष्यो वञ्च्यते।|A very simple man is deceived.|अत्यंत सीधा मनुष्य ठगा जाता है।
भूतपिशाचादिभिः वरयात्रा सम्पूरिता।|The wedding procession was filled with ghosts, ghouls, and others.|भूत-पिशाच आदि से बारात भर गई।
कति वर्षाणि व्यतीतानि इति न जाने।|How many years have passed, thus I do not know.|कितने वर्ष बीत गए, यह मैं नहीं जानता।
तव कथितं मया शिरोधार्यम्।|What is said by you is to be borne on the head by me.|तुम्हारा कहा हुआ मेरे द्वारा शिरोधार्य है।
अष्ट रूप्यकाणि किमर्थं याचयसि।|Why do you ask for eight rupees?|आठ रुपये किसलिए माँगते हो।
जरासन्धो भीमेन सह युयुधे।|Jarasandha had fought with Bhima.|जरासंध ने भीम के साथ युद्ध किया था।
मन्दो ज्वरः तव पुत्रस्य अधुना।|The fever of your son is mild now.|तुम्हारे बेटे का ज्वर अब मंद है।
सीताविरहितेन रामेण नवरात्रव्रतं कृतम्।|By Rama, separated from Sita, the Navaratri ritual was done.|सीता से विरहित राम के द्वारा नवरात्र का व्रत किया गया।
त्वम् अधुना अयुक्तं भाषसे।|You now speak the improper.|तुम अब अनुचित बोलते हो।
गच्छन्तं वाहनं पश्य मर्कट।|See the going vehicle, monkey.|जाते हुए वाहन को देखो, बन्दर।
भवनस्योपरि ध्वजः शोभते।|On top of the building, the flag shines.|भवन के ऊपर ध्वज शोभता है।
प्रभुपादो भक्तिमार्गं दर्शयामास।|Prabhupada showed the path of devotion.|प्रभुपाद ने भक्ति का मार्ग दिखाया।
नीलगगने चन्द्रः समायातः।|The moon has arrived in the blue sky.|नीले आकाश में चंद्रमा आ गया है।
एतेषां बालकानाम् अग्रजस्य परिणयो निश्चितः।|The marriage of the elder brother of these boys is fixed.|इन बच्चों के बड़े भैया का विवाह निश्चित हो गया।
रिङ्क्याः पिता वृथा हसति।|Rinki's father laughs in vain.|रिंकी के पिता व्यर्थ हँसते हैं।
को नाम मारुततुल्यवेगः।|Who indeed is of speed equal to the wind?|पवन के तुल्य वेग वाला भला कौन है।
यथा दृष्टिः तथा सृष्टिः भवति।|As is the vision, so the creation becomes.|जैसी दृष्टि होती है, वैसी ही सृष्टि होती है।
